gene,CerD1,CerD2,CerD3,CerW1,CerW2,CerW3,CocD1,CocD2,CocD3,CocW1,CocW2,CocW3,NigD1,NigD2,NigD3,NigW1,NigW2,NigW3,PenD1,PenD2,PenD3,PenW1,PenW2,PenW3,SorD1,SorD2,SorD3,SorW1,SorW2,SorW3
PhHAL.5G427000,0.456625495,0.362494655,0.795990758,-0.295717035,0.193352934,-0.61682344,0.555918077,0.285324801,0.974975704,-0.371531872,-0.819235295,-1.342089946,-0.441631966,0.115493611,-0.298837742,-0.822528566,-0.751365435,-1.797437043,0.696557818,-0.287328972,0.269309921,-1.123248926,-0.647304425,-2.376439499,0.427858082,1.138357205,1.123236784,0.103988499,-0.298861505,-0.167432268
PhHAL.1G387200,0.743513239,0.500818886,1.621651494,1.317294513,0.79671064,0.275949802,0.555487884,0.04657666,0.172111381,0.642148675,0.776333239,0.457158072,-0.337829589,-1.278268499,-1.02791444,-0.028932689,-0.13506354,0.162839433,0.504915725,0.288220338,0.090058455,-0.656351297,0.245279513,-1.357039581,0.502335569,1.156122206,2.145964316,1.308614689,1.11800638,0.892827433
PhHAL.4G337300,1.371945754,0.522819359,2.420896752,0.432812326,0.693484044,-0.562256106,0.222638699,0.845878749,-1.59743066,-0.017248076,0.107745117,-1.628983718,-0.326804208,-2.151641292,0.748715472,-2.443360489,-0.837451028,-0.944209899,0.450188317,0.682406463,1.182643794,-1.402681592,-0.897854671,-3.236373218,0.641721933,2.213603307,1.640714339,0.003773169,-0.139854969,-0.307296171
PhHAL.4G343600,-0.700788234,-0.590608628,1.44924094,-0.838023418,-0.67580698,-0.681665325,-0.015822066,-0.052281043,-0.974027423,-1.252265161,-3.153423214,-0.930380985,-0.634829896,-0.134389965,-1.210876055,-1.481659732,-2.587469113,-0.651480294,0.250366618,0.073559153,-1.699454617,-2.183165155,-1.670036656,-3.157173094,0.49329535,1.741355053,1.825210406,-0.504360811,-0.444773208,-1.391680781
PhHAL.4G343700,1.111982124,1.245913822,1.057935167,0.731557938,0.576821092,0.624683922,1.047917254,0.854364169,1.448481121,0.239469501,1.578476631,0.79176612,0.560845683,-0.159406602,0.777906664,0.162326033,0.427038188,0.151895769,0.044283937,0.430729146,0.589082805,-0.62435291,-0.091112416,-0.624354797,1.080326653,-0.159414004,0.90195565,0.237703754,0.223139483,0.788204549
PhHAL.3G180800,0.72250455,0.948821292,0.764538535,-0.27377135,-0.938347158,-0.713040596,0.475811989,0.665529246,0.515598605,-0.829579408,-1.109228747,-1.00860132,-0.040969236,-0.495318655,0.744801632,-2.09021924,-0.240374612,-2.020884773,1.216462771,0.340442387,-0.129541426,-1.31346012,0.042140843,-2.943049884,-0.144998394,1.746073188,1.060223846,-0.873261805,-1.340041991,-1.485902154
PhHAL.1G022000,0.408265308,-0.024386175,0.732292617,0.353001751,0.070203332,-1.25294765,1.217410568,-0.255079933,-0.689098147,0.864125637,0.384963948,-0.916007342,-0.274809023,-1.020455975,-0.671515415,-0.66464965,-0.423672035,0.314110977,0.135733511,-0.243358238,0.130214174,-1.068167181,-0.590155163,-1.25294765,0.514208285,1.161543409,1.451137309,1.118056331,0.650796365,0.724629026
PhHAL.3G245000,0.021692356,0.196888698,0.441944086,0.263069834,0.638523806,0.136798842,1.023980353,0.400350291,0.143638567,0.824872029,0.725518156,0.448776852,0.094310946,-0.459151796,-0.046409285,0.414434522,0.646979501,0.897089441,-0.161861757,0.349969552,0.249670219,-0.036216086,-0.106505205,-0.366804314,0.679328495,0.394843053,0.798661437,0.765298681,0.559435786,0.501247873
PhHAL.1G151800,0.535514135,-0.590788437,1.267977669,-0.831557806,-1.072789331,-1.485574226,2.243848472,2.047359463,1.959036373,1.32541917,1.269590469,0.667659961,0.122827019,1.166886054,1.365278365,0.022424554,0.98308201,0.770241639,0.976313502,0.166590375,0.873768414,-1.294175341,-0.339373221,0.146919041,2.711887935,2.206016655,2.658798378,0.827268226,0.583326092,0.716905764
PhHAL.5G045700,1.415033195,0.614548193,2.46300593,2.004621493,2.577600127,1.625930107,0.995185583,1.325226318,1.160372493,1.283436225,1.353155187,0.61731344,-0.973800733,0.266021573,-0.215344383,0.078454575,-0.495427896,-1.367436302,1.053660443,0.636989906,1.508233224,-0.364956998,0.049570934,-1.367436302,1.066939653,2.282530639,2.086239382,1.70610119,1.354439408,1.354375989
